,TUMOR_CLASS,TUMOR_TYPE,channel,Min,Max,stddev
0,B,A,B,103,253,18.653021981881484
0,B,A,R,102,233,8.812538241453375
0,B,A,G,89,233,13.214958681864573
0,B,A,B,112,239,8.912105653933637
0,B,A,R,98,233,14.199726296507382
0,B,A,G,87,235,25.255555821738938
0,B,A,B,106,240,13.15956026505934
0,B,A,R,89,232,20.078216548697633
0,B,A,G,85,244,30.626779054302574
0,B,A,B,100,250,17.397163267585828
0,B,A,R,89,233,20.33722782719841
0,B,A,G,85,244,29.391168027615183
0,B,A,B,104,244,18.315913467096813
0,B,A,R,94,239,17.39495109724743
0,B,A,G,80,243,26.252807695015175
0,B,A,B,103,246,16.39508572777175
0,B,A,R,91,232,20.20828557175724
0,B,A,G,84,240,29.51130765640044
0,B,A,B,100,242,17.23265180063874
0,B,A,R,86,245,21.830160295900722
0,B,A,G,89,244,28.07495763143754
0,B,A,B,101,243,17.50539659257109
0,B,A,R,92,236,20.36943065654274
0,B,A,G,85,240,30.78873239018998
0,B,A,B,97,244,17.77450069440403
0,B,A,R,93,226,25.19089041825373
0,B,A,G,97,239,34.724357828378366
0,B,A,B,111,235,18.64306973748757
0,B,A,R,101,230,19.79191737315166
0,B,A,G,98,240,26.594369044984024
0,B,A,B,111,233,14.35893561659705
0,B,A,R,97,227,20.159557015639432
0,B,A,G,101,237,25.56461793506659
0,B,A,B,105,234,13.814645667387405
0,B,A,R,106,217,16.416986007800073
0,B,A,G,99,235,27.220191521347676
0,B,A,B,119,222,11.802790794075976
0,B,A,R,87,226,25.66257346060968
0,B,A,G,98,239,34.441777532138325
0,B,A,B,105,244,18.815134157830915
0,B,A,R,110,229,19.428043886270633
0,B,A,G,94,236,33.43454123414397
0,B,A,B,125,243,16.801105637073466
0,B,A,R,106,218,6.808188117910374
0,B,A,G,97,222,10.708742176661717
0,B,A,B,122,226,6.662422811513515
0,B,A,R,106,229,9.819785073417826
0,B,A,G,104,230,20.35097672076156
0,B,A,B,121,236,9.49764919264382
0,B,A,R,138,219,4.252167032431952
0,B,A,G,107,211,8.005600898052059
0,B,A,B,136,222,4.033383696559383
0,B,A,R,111,247,16.346415584356723
0,B,A,G,85,235,27.763910851273856
0,B,A,B,117,241,15.159650127476196
0,B,A,R,104,237,17.543711694443044
0,B,A,G,96,238,25.958938281914943
0,B,A,B,113,242,14.420241794191421
0,B,A,R,103,233,25.44171843722872
0,B,A,G,99,238,33.7506941635514
0,B,A,B,121,242,17.898684618332904
0,B,A,R,108,236,18.398192468366982
0,B,A,G,100,237,25.37162472523222
0,B,A,B,119,243,13.852132660524859
0,B,A,R,103,236,24.355987671292443
0,B,A,G,95,236,30.97405469186718
0,B,A,B,120,239,17.902130136473662
0,B,A,R,102,235,22.047253001781584
0,B,A,G,94,237,30.616839376948878
0,B,A,B,109,229,15.439521627026227
0,B,A,R,103,212,10.702595009772322
0,B,A,G,97,214,16.827840337022025
0,B,A,B,119,220,9.128962188349062
0,B,A,R,94,230,23.947231125097783
0,B,A,G,94,236,32.73028845114809
0,B,A,B,104,232,17.18735770858582
0,B,A,R,110,234,18.559970786638
0,B,A,G,100,232,30.493887166496407
0,B,A,B,123,239,15.16044308776413
0,B,A,R,100,228,19.337425082680365
0,B,A,G,87,226,28.166250254869233
0,B,A,B,111,233,15.071994343182357
0,B,A,R,98,233,23.92414411768442
0,B,A,G,95,236,36.82746946487439
0,B,A,B,110,234,18.766017315121623
0,B,A,R,98,230,22.904859165686798
0,B,A,G,97,233,33.43501772728318
0,B,A,B,107,236,17.99345480060977
0,B,A,R,110,235,21.45939848193591
0,B,A,G,101,236,31.282985843405665
0,B,A,B,123,229,14.825824080574346
0,B,A,R,109,227,16.44991797812986
0,B,A,G,99,230,25.11785404600699
0,B,A,B,119,240,12.655785871018754
0,B,A,R,106,236,22.152086168324853
0,B,A,G,98,232,35.11284037442091
0,B,A,B,116,236,17.780206793683814
0,B,A,R,103,212,20.713010335884395
0,B,A,G,90,215,26.48701251196366
0,B,A,B,114,220,14.945570495180203
0,B,A,R,101,217,15.554683082911366
0,B,A,G,97,220,23.17730982957164
0,B,A,B,114,228,11.591826339525998
0,B,A,R,110,239,14.43046937747397
0,B,A,G,92,224,23.39212295590977
0,B,A,B,120,243,12.903889641188949
0,B,A,R,119,232,11.268377469395604
0,B,A,G,101,234,20.45933129987162
0,B,A,B,133,232,8.955325478566659
0,B,A,R,88,206,12.057336830884491
0,B,A,G,91,220,21.49530057841737
0,B,A,B,91,208,9.17287600215911
0,B,A,R,100,209,16.102756850116684
0,B,A,G,92,209,28.23964070075193
0,B,A,B,111,215,12.21952805663939
0,B,A,R,102,229,22.545706137630674
0,B,A,G,93,234,33.98937179143047
0,B,A,B,115,235,18.00489011258233
0,B,A,R,103,224,13.26058823359295
0,B,A,G,105,233,20.460244108172375
0,B,A,B,116,226,9.665752219634404
0,B,A,R,84,223,23.625859559201544
0,B,A,G,74,242,36.147620873359394
0,B,A,B,103,231,19.292065302121035
0,B,A,R,90,222,24.46438209730142
0,B,A,G,86,231,33.76088336791128
0,B,A,B,116,227,16.437678193437858
0,B,A,R,89,221,24.3066580826202
0,B,A,G,82,231,38.94248255906937
0,B,A,B,103,231,19.322296762850108
0,B,A,R,94,218,20.926878700249095
0,B,A,G,87,236,30.3261886396072
0,B,A,B,120,232,13.945905642215887
0,B,A,R,92,223,24.797384153374637
0,B,A,G,84,229,32.674143461726985
0,B,A,B,111,227,17.61679101636412
0,B,A,R,95,219,15.933331676547388
0,B,A,G,89,235,22.55982864994982
0,B,A,B,121,219,10.644814464570855
0,B,A,R,86,216,28.536892244505882
0,B,A,G,84,235,41.286166459688026
0,B,A,B,94,220,19.886046066604376
0,B,A,R,91,219,12.431162651484911
0,B,A,G,87,221,20.685899213081576
0,B,A,B,119,226,9.531969801461104
0,B,A,R,86,223,23.919500650247464
0,B,A,G,78,237,39.98876548887988
0,B,A,B,104,240,20.216570590356067
0,B,A,R,94,227,6.979578670838869
0,B,A,G,88,226,12.599987185176555
0,B,A,B,108,229,6.482036957077043
0,B,A,R,94,219,28.864912793981084
0,B,A,G,84,236,39.82731968424596
0,B,A,B,102,221,18.25413084024841
0,B,A,R,89,226,21.13856794879095
0,B,A,G,76,238,35.88390297740227
0,B,A,B,103,231,17.35484365202346
0,B,A,R,85,225,25.606554171836827
0,B,A,G,79,241,45.047116721959505
0,B,A,B,104,237,20.9172052639835
0,B,A,R,87,218,26.886416882008845
0,B,A,G,85,231,34.787812876162626
0,B,A,B,105,228,16.820186115762958
0,B,A,R,92,230,26.59319219824093
0,B,A,G,85,242,35.22950478537207
0,B,A,B,113,238,18.50138961943777
0,B,A,R,96,222,22.776880881704233
0,B,A,G,88,235,32.79239491868236
0,B,A,B,128,228,14.131276010697398
0,B,A,R,112,233,9.543637935242698
0,B,A,G,89,234,18.26109921585194
0,B,A,B,111,226,7.989901229211743
0,B,A,R,77,225,29.4469813329849
0,B,A,G,84,239,42.03912301895139
0,B,A,B,95,231,20.09069596873891
0,B,A,R,91,222,15.839898333280598
0,B,A,G,81,241,31.736476144818734
0,B,A,B,115,224,13.50832899445257
0,B,A,R,81,217,25.488822610248256
0,B,A,G,79,232,41.84850195043466
0,B,A,B,95,219,19.528856187890835
0,B,A,R,100,219,19.205732391628672
0,B,A,G,87,232,33.78756954706116
0,B,A,B,116,227,14.819708293639456
0,B,A,R,141,227,4.888555868713138
0,B,A,G,104,214,13.471542031377595
0,B,A,B,138,230,6.1969069267603265
0,B,A,R,85,221,21.14200213417578
0,B,A,G,74,239,35.7794346205053
0,B,A,B,102,227,19.00869676861725
0,B,A,R,90,236,27.97310692958225
0,B,A,G,82,245,37.7475578967099
0,B,A,B,113,248,20.631128464020648
0,B,A,R,89,229,26.958345838102723
0,B,A,G,85,245,38.417811684682334
0,B,A,B,109,237,18.374852947651174
0,B,A,R,94,226,28.283722549542702
0,B,A,G,83,236,37.059449590490004
0,B,A,B,118,224,17.703105069209172
0,B,A,R,92,227,28.658866748878328
0,B,A,G,80,232,43.712328581546224
0,B,A,B,112,224,19.238377566397887
0,B,A,R,89,226,26.379054687051937
0,B,A,G,78,240,39.713405608864534
0,B,A,B,110,228,18.070398152300083
0,B,A,R,93,224,25.66665823494784
0,B,A,G,78,237,37.746961802290365
0,B,A,B,114,239,19.448112236345818
0,B,A,R,95,227,26.380868580156072
0,B,A,G,76,229,42.17033827696947
0,B,A,B,117,236,20.559403028858576
0,B,A,R,105,241,13.8368816160006
0,B,A,G,99,240,22.900178742018994
0,B,A,B,114,244,13.969579996503798
0,B,A,R,98,233,20.87414843084379
0,B,A,G,90,235,31.833734424796646
0,B,A,B,100,246,18.711140427647642
0,B,A,R,103,255,21.487122655284516
0,B,A,G,97,251,28.315708243105245
0,B,A,B,111,255,19.955255995489555
0,B,A,R,106,232,11.674294928136996
0,B,A,G,93,225,29.79687896061714
0,B,A,B,110,241,14.216159244189253
0,B,A,R,108,253,22.070175648912212
0,B,A,G,95,253,29.144982362158906
0,B,A,B,111,255,20.50574951003369
0,B,A,R,105,235,12.856769288253393
0,B,A,G,97,241,15.986554094803743
0,B,A,B,112,243,12.253068237285124
0,B,A,R,98,245,20.244516726166214
0,B,A,G,86,234,28.419650154945696
0,B,A,B,106,248,17.59886334031541
0,B,A,R,104,238,18.060762026371588
0,B,A,G,93,239,27.740319680918066
0,B,A,B,108,238,16.626560277013972
0,B,A,R,107,240,14.568310882978187
0,B,A,G,97,247,22.529549080635963
0,B,A,B,111,251,14.137763467016331
0,B,A,R,97,245,17.09409726504155
0,B,A,G,93,229,27.981837949714528
0,B,A,B,104,239,15.202878168151445
0,B,A,R,103,253,21.435290081048016
0,B,A,G,83,247,25.267150442578554
0,B,A,B,100,255,18.91161437733761
0,B,A,R,117,239,13.62879889765116
0,B,A,G,88,221,27.7327923000655
0,B,A,B,110,252,15.075156519601954
0,B,A,R,88,254,17.703807051314413
0,B,A,G,91,249,26.927920258824273
0,B,A,B,85,255,16.98154499214355
0,B,A,R,98,236,15.549654410796334
0,B,A,G,99,241,20.147223978455113
0,B,A,B,113,245,14.465550352799019
0,B,A,R,99,244,15.35619037717382
0,B,A,G,88,239,23.004753227789234
0,B,A,B,102,249,15.280297901138265
0,B,A,R,94,250,15.452582063303526
0,B,A,G,93,247,24.930792285996862
0,B,A,B,102,255,15.351471336237816
0,B,A,R,104,253,20.50814060848965
0,B,A,G,81,248,25.493116682401652
0,B,A,B,101,254,18.09539319838178
0,B,A,R,99,250,20.936618856086156
0,B,A,G,88,242,25.119272788683848
0,B,A,B,95,254,18.89131328794907
0,B,A,R,103,237,14.138070100190493
0,B,A,G,96,234,18.6888796529627
0,B,A,B,112,245,13.29940039316156
0,B,A,R,104,248,15.020387516812109
0,B,A,G,94,245,26.526084739290003
0,B,A,B,111,251,15.221456892814366
0,B,A,R,99,229,10.887480802155856
0,B,A,G,97,240,15.836811812226447
0,B,A,B,98,236,10.823896277341765
0,B,A,R,108,229,11.242498907677707
0,B,A,G,104,242,13.993802790628337
0,B,A,B,112,241,10.929098302644897
0,B,A,R,109,240,13.51318712532637
0,B,A,G,97,239,28.55549815859629
0,B,A,B,120,249,15.958919114647456
0,B,A,R,110,255,20.165364393548963
0,B,A,G,91,253,23.820334565192272
0,B,A,B,105,255,16.994947090010413
0,B,A,R,105,255,22.340001963799487
0,B,A,G,92,249,29.204445432665775
0,B,A,B,107,255,20.548942952366588
0,B,A,R,106,247,19.573258459173555
0,B,A,G,90,244,26.290570612993786
0,B,A,B,107,255,18.09900484759947
0,B,A,R,107,239,13.142841980124476
0,B,A,G,94,231,31.588825423720845
0,B,A,B,111,243,16.133976203794123
0,B,A,R,100,234,18.0975161611698
0,B,A,G,90,223,26.86020024150911
0,B,A,B,106,242,17.325883116281208
0,B,A,R,104,239,14.472408712199472
0,B,A,G,94,235,22.04485362329885
0,B,A,B,103,235,13.406458443760657
0,B,A,R,87,241,17.576999986348863
0,B,A,G,74,215,34.11323202517033
0,B,A,B,98,246,18.189914774185933
0,B,A,R,95,249,20.30235645726818
0,B,A,G,76,237,36.15980607800176
0,B,A,B,102,251,20.369677401542535
0,B,A,R,88,242,17.270163020223567
0,B,A,G,73,220,36.755117569610356
0,B,A,B,97,248,18.161976579856496
0,B,A,R,92,244,21.69098610877616
0,B,A,G,72,240,42.96094893807772
0,B,A,B,102,253,22.046174727047738
0,B,A,R,90,227,14.168481839965692
0,B,A,G,82,230,19.483195500525166
0,B,A,B,98,231,12.264428012690015
0,B,A,R,83,240,18.015902344867126
0,B,A,G,77,242,28.082556519733696
0,B,A,B,91,244,16.77272520234335
0,B,A,R,101,233,16.474638025714057
0,B,A,G,84,235,26.084907902353887
0,B,A,B,117,242,13.580353103524965
0,B,A,R,84,218,13.516116948394211
0,B,A,G,77,224,19.685615294659474
0,B,A,B,93,223,11.95654620110055
0,B,A,R,90,237,16.12044231101475
0,B,A,G,77,235,30.98247657685881
0,B,A,B,97,241,14.018722319060869
0,B,A,R,92,237,19.940556858744067
0,B,A,G,88,249,30.51792598897633
0,B,A,B,90,247,15.231981257899669
0,B,A,R,88,236,18.30969458776797
0,B,A,G,89,250,27.59764977351734
0,B,A,B,93,245,15.698003452982897
0,B,A,R,91,244,17.540579500291223
0,B,A,G,77,232,27.20997589401284
0,B,A,B,90,233,15.398941315496959
0,B,A,R,87,226,13.683632465011396
0,B,A,G,82,227,23.614941033768357
0,B,A,B,88,232,12.649287487976002
0,B,A,R,81,224,16.25316655405422
0,B,A,G,86,233,24.977511049229527
0,B,A,B,89,236,12.799539977320421
0,B,A,R,72,233,22.386503699080563
0,B,A,G,83,242,27.46147201824226
0,B,A,B,77,240,18.35229963847263
0,B,A,R,89,232,14.75681634241025
0,B,A,G,82,227,29.1198865901046
0,B,A,B,86,228,13.781352829483865
0,B,A,R,83,226,20.823629972184566
0,B,A,G,78,221,26.173324199114457
0,B,A,B,92,240,17.802146415225305
0,B,A,R,80,233,13.103325967744079
0,B,A,G,77,221,22.432315785162956
0,B,A,B,86,233,12.694072005887213
0,B,A,R,94,248,12.237052550641161
0,B,A,G,77,239,23.406283456688474
0,B,A,B,95,244,11.977142957236014
0,B,A,R,84,232,22.21884698312469
0,B,A,G,80,237,29.313791808759923
0,B,A,B,97,247,18.63632406274952
0,B,A,R,96,247,16.82793446367409
0,B,A,G,83,242,27.6781893852814
0,B,A,B,102,243,15.490861639889285
0,B,A,R,97,251,14.543929735385628
0,B,A,G,83,238,33.68198583239522
0,B,A,B,105,245,16.81474251703057
0,B,A,R,94,234,14.161626549951595
0,B,A,G,79,231,23.31332147750961
0,B,A,B,98,245,13.4783929739465
0,B,A,R,87,242,12.971336743664764
0,B,A,G,79,222,25.059904204297897
0,B,A,B,95,240,13.941791470254568
0,B,A,R,85,230,23.24686476625185
0,B,A,G,79,235,35.64285701837104
0,B,A,B,94,241,19.747940317907847
0,B,A,R,89,233,15.520299721620754
0,B,A,G,85,237,21.37422413256208
0,B,A,B,95,237,14.03040027022044
0,B,A,R,85,222,11.382688798904141
0,B,A,G,88,230,15.012724265337324
0,B,A,B,90,234,9.548254449654108
0,B,A,R,99,244,11.735153312143291
0,B,A,G,85,240,18.83304196038799
0,B,A,B,104,248,12.409669530326994
0,B,A,R,86,222,14.119137239431574
0,B,A,G,79,221,20.08497783057503
0,B,A,B,88,230,12.302298360980394
0,B,A,R,91,238,16.378341870746596
0,B,A,G,78,238,27.416193617235894
0,B,A,B,99,241,14.842556802857132
0,B,A,R,88,246,18.404607390377098
0,B,A,G,80,238,25.38108906202363
0,B,A,B,100,245,16.992893522348123
0,B,A,R,84,227,16.90510982025255
0,B,A,G,80,235,26.255891458309012
0,B,A,B,93,244,14.472222464555179
0,B,A,R,79,233,25.604153276106278
0,B,A,G,84,244,30.366854570725113
0,B,A,B,89,249,20.838297941628625
0,B,A,R,73,236,22.963741444584773
0,B,A,G,86,247,30.026208942515325
0,B,A,B,76,249,18.723256522554358
0,B,A,R,87,229,22.25311004489292
0,B,A,G,88,240,26.24037897346142
0,B,A,B,98,244,18.845933053575564
0,B,A,R,91,229,11.679456883100984
0,B,A,G,86,232,20.75771758870908
0,B,A,B,99,235,11.701452855545671
0,B,A,R,100,228,19.01319155312107
0,B,A,G,96,231,35.949246641347926
0,B,A,B,116,234,17.208604835244497
0,B,A,R,105,217,15.583581016310927
0,B,A,G,96,225,28.108872291336674
0,B,A,B,115,226,13.565309648912422
0,B,A,R,97,220,17.695443427757684
0,B,A,G,100,224,27.422939966241906
0,B,A,B,113,224,13.506493271812431
0,B,A,R,92,230,17.015832209482436
0,B,A,G,96,241,36.789236187442555
0,B,A,B,105,236,15.310285760286831
0,B,A,R,104,224,13.51034548784545
0,B,A,G,94,224,18.743295087013628
0,B,A,B,106,227,10.461437568893825
0,B,A,R,100,217,8.572904021665268
0,B,A,G,95,214,15.37546448689815
0,B,A,B,104,220,7.413420827164265
0,B,A,R,93,222,23.27746421479626
0,B,A,G,85,226,35.38767915626906
0,B,A,B,105,229,19.83018747285718
0,B,A,R,98,214,8.2313061531471
0,B,A,G,84,221,15.415347143933719
0,B,A,B,101,218,8.113213082432809
0,B,A,R,108,224,6.585635107061203
0,B,A,G,102,222,15.967583333382033
0,B,A,B,125,230,7.513743634338375
0,B,A,R,98,217,10.962282701108247
0,B,A,G,106,232,19.484891874389803
0,B,A,B,126,231,9.390844616304712
0,B,A,R,97,231,19.671701723626533
0,B,A,G,98,230,35.55551123925814
0,B,A,B,114,236,17.064065668408546
0,B,A,R,98,221,19.50298810916047
0,B,A,G,97,226,30.562819943486108
0,B,A,B,111,230,15.588451582486254
0,B,A,R,101,222,17.400970264802822
0,B,A,G,93,225,32.393903391103535
0,B,A,B,119,230,15.497572942610192
0,B,A,R,105,221,17.09153777464574
0,B,A,G,96,227,26.494570368882435
0,B,A,B,117,235,14.39543244624924
0,B,A,R,107,227,20.230616119273336
0,B,A,G,89,219,36.733858547632245
0,B,A,B,123,237,19.42919975358851
0,B,A,R,92,223,18.338882200589918
0,B,A,G,92,232,36.58412977374834
0,B,A,B,103,228,17.587790960754525
0,B,A,R,110,239,20.112561241798755
0,B,A,G,93,230,37.738269910517225
0,B,A,B,120,243,17.491113776400866
0,B,A,R,106,242,22.278977932406523
0,B,A,G,92,232,38.558513180694995
0,B,A,B,118,242,19.240443798157443
0,B,A,R,104,235,22.269876182955866
0,B,A,G,92,232,34.27465036841719
0,B,A,B,117,240,18.156523416300978
0,B,A,R,102,224,26.881583618955272
0,B,A,G,90,234,44.78219747501591
0,B,A,B,117,238,23.09439922942976
0,B,A,R,108,241,21.043480387410042
0,B,A,G,87,232,33.45824308453043
0,B,A,B,117,242,18.145040567175197
0,B,A,R,100,234,23.05296079589578
0,B,A,G,94,237,37.33507074685219
0,B,A,B,111,247,18.83753907451751
0,B,A,R,103,243,23.34097434814669
0,B,A,G,86,232,36.99938543207664
0,B,A,B,116,245,19.860295818390327
0,B,A,R,111,239,20.715230806104497
0,B,A,G,92,232,39.61041903594354
0,B,A,B,122,238,17.958002566472274
0,B,A,R,96,243,21.062173631333785
0,B,A,G,85,236,39.616640106670594
0,B,A,B,105,238,17.783618451610852
0,B,A,R,103,225,20.40028302425067
0,B,A,G,86,219,29.330909374355087
0,B,A,B,115,230,17.694360364111375
0,B,A,R,103,232,16.077347642820545
0,B,A,G,90,224,29.7307791698678
0,B,A,B,118,236,14.341234520374151
0,B,A,R,95,241,23.88754158483952
0,B,A,G,88,238,37.643331107390225
0,B,A,B,102,239,19.572338244483223
0,B,A,R,95,241,23.80021388051832
0,B,A,G,81,238,36.472087766842805
0,B,A,B,102,247,20.428844689556314
0,B,A,R,98,226,22.882623700344254
0,B,A,G,92,233,38.33276583237909
0,B,A,B,110,234,18.43250905077304
0,B,A,R,101,241,17.059743466231737
0,B,A,G,83,227,30.107818156012108
0,B,A,B,113,236,15.376019148379081
0,B,A,R,91,232,30.393042379967774
0,B,A,G,77,238,47.43244508500905
0,B,A,B,96,237,24.43406388051132
0,B,A,R,97,229,20.736244400932662
0,B,A,G,82,228,35.48791939689721
0,B,A,B,120,229,17.406817482055573
0,B,A,R,79,225,18.290197344344524
0,B,A,G,74,230,40.78491301517612
0,B,A,B,90,226,17.57234993884786
0,B,A,R,98,234,20.15193379831824
0,B,A,G,81,239,32.45208515144849
0,B,A,B,116,233,16.283304480966876
0,B,A,R,100,223,22.853346236231662
0,B,A,G,81,234,48.325800249560125
0,B,A,B,122,233,21.491972116944602
0,B,A,R,104,228,21.70424781774328
0,B,A,G,82,237,39.20037362486372
0,B,A,B,123,231,18.43515043648888
0,B,A,R,95,239,25.058826186993524
0,B,A,G,80,239,39.68677142013716
0,B,A,B,114,238,20.054933309330735
0,B,A,R,92,230,25.573763922705954
0,B,A,G,81,238,38.507102371194385
0,B,A,B,101,234,19.625838125750985
0,B,A,R,100,242,15.473630470072235
0,B,A,G,82,235,29.249189118980002
0,B,A,B,97,235,15.121322867056358
0,B,A,R,105,244,19.324054582361626
0,B,A,G,85,238,33.190396208982534
0,B,A,B,129,232,14.87678394420352
0,B,A,R,100,228,18.052186736099753
0,B,A,G,81,230,33.59589870136086
0,B,A,B,123,226,14.986194328498746
0,B,A,R,73,238,28.019524374227
0,B,A,G,77,243,43.2878357045097
0,B,A,B,99,232,21.288547000801728
0,B,A,R,98,241,23.21262611466824
0,B,A,G,79,232,33.761228162730816
0,B,A,B,116,242,19.060964596351152
0,B,A,R,92,225,24.856091910834596
0,B,A,G,83,232,44.651932649886156
0,B,A,B,119,232,19.561283188992476
0,B,A,R,93,231,20.90220276866403
0,B,A,G,82,234,36.199571907613354
0,B,A,B,98,238,17.314380024987983
0,B,A,R,98,230,24.975330465707565
0,B,A,G,82,236,39.536070764997554
0,B,A,B,126,234,18.96124737865058
0,B,A,R,97,232,25.185574148325053
0,B,A,G,80,236,40.418227463823506
0,B,A,B,117,234,20.42937296916938
0,B,A,R,106,236,16.618294357018552
0,B,A,G,87,237,28.042642229434325
0,B,A,B,130,238,13.753952507254585
0,B,A,R,93,228,25.980220143433122
0,B,A,G,82,230,41.93723484695259
0,B,A,B,118,231,19.22484172768158
0,B,A,R,102,235,14.586358445663366
0,B,A,G,86,237,25.61872582755771
0,B,A,B,132,239,12.368802920694586
0,B,A,R,83,222,25.631282202501684
0,B,A,G,70,233,45.754094402798856
0,B,A,B,108,227,20.934180605585013
0,B,A,R,94,223,21.931046077045117
0,B,A,G,80,224,32.58884445137818
0,B,A,B,109,236,17.324013458217138
0,B,A,R,94,230,23.227164434687406
0,B,A,G,82,234,36.612626022754085
0,B,A,B,112,241,19.434483518192177
0,B,A,R,98,238,24.45941131448022
0,B,A,G,79,237,34.842517826501364
0,B,A,B,108,242,20.19984157299392
0,B,A,R,91,232,21.8423564355853
0,B,A,G,79,235,40.48395721637764
0,B,A,B,114,240,19.357023018083026
0,B,A,R,93,229,22.80494622453796
0,B,A,G,75,227,47.50408208760252
0,B,A,B,109,231,23.096779615658367
0,B,A,R,91,228,26.63092557705008
0,B,A,G,80,235,39.20132537912999
0,B,A,B,106,237,20.13109317477495
0,B,A,R,90,232,25.012827535119033
0,B,A,G,76,238,35.33570676437221
0,B,A,B,108,239,18.373404768494073
0,B,A,R,91,218,24.364079047183562
0,B,A,G,83,233,42.9662576376673
0,B,A,B,112,228,17.600998171854155
0,B,A,R,99,231,23.576829111197736
0,B,A,G,79,234,39.140979376347715
0,B,A,B,120,238,18.95097725043055
0,B,A,R,104,245,15.52534108450432
0,B,A,G,91,251,24.093163789943574
0,B,A,B,107,250,14.779481523966583
0,B,A,R,124,228,7.848176889713187
0,B,A,G,124,225,11.48332175253487
0,B,A,B,130,234,7.991351404371378
0,B,A,R,113,234,7.808715172939574
0,B,A,G,94,229,12.674540939971155
0,B,A,B,113,232,8.277786888126897
0,B,A,R,108,229,9.659643849008045
0,B,A,G,89,225,15.678592454269726
0,B,A,B,112,239,10.02288487845677
0,B,A,R,108,229,14.900692313314574
0,B,A,G,98,228,18.551723957180073
0,B,A,B,113,241,13.342780384552853
0,B,A,R,94,236,13.489605699206223
0,B,A,G,88,228,26.79461014628624
0,B,A,B,99,239,13.80460916473877
0,B,A,R,98,228,13.271074409090165
0,B,A,G,99,231,17.894728028377187
0,B,A,B,110,239,11.819258856193851
0,B,A,R,109,229,9.74680183767376
0,B,A,G,98,223,15.33585115561976
0,B,A,B,114,235,9.45194773666974
0,B,A,R,111,236,10.115267581252333
0,B,A,G,87,225,21.553838359464347
0,B,A,B,115,237,9.963501662103766
0,B,A,R,105,236,13.902393363170871
0,B,A,G,92,236,19.222167152054332
0,B,A,B,111,241,12.97541937535248
0,B,A,R,122,239,9.577317286282947
0,B,A,G,106,228,18.93196590472498
0,B,A,B,122,234,9.785958332130075
0,B,A,R,110,228,9.919143652400306
0,B,A,G,109,232,15.054813212439926
0,B,A,B,122,238,9.616400794762288
0,B,A,R,94,223,12.593621936634545
0,B,A,G,91,222,17.25582670446174
0,B,A,B,98,240,12.125834788894451
0,B,A,R,97,230,9.718320463575852
0,B,A,G,92,231,17.313766139266903
0,B,A,B,100,231,9.798293702522203
